1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)
1.1.98.2	F420-dependent glucose-6-phosphate dehydrogenase (FGD) (G6PD) (EC 1.1.98.2)
1.1.1.133	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)
1.4.1.1	Alanine dehydrogenase (EC 1.4.1.1)
1.4.1.2	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2) (NAD(+)-dependent glutamate dehydrogenase)
1.14.13.142	3-ketosteroid-9-alpha-monooxygenase oxygenase subunit (EC 1.14.13.142) (3-ketosteroid-9-alpha-hydroxylase oxygenase subunit) (Rieske-type oxygenase) (RO)
1.3.99.4	3-oxosteroid 1-dehydrogenase (EC 1.3.99.4) (3-keto-Delta(4)-steroid Delta(1)-dehydrogenase) (KSDD) (3-oxo-Delta(4)-steroid 1-dehydrogenase) (KSTD)
1.1.98.3	FAD-dependent decaprenylphosphoryl-beta-D-ribofuranose 2-oxidase (EC 1.1.98.3) (Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase 1) (DprE1)
1.1.1.333	NAD-dependent decaprenylphosphoryl-D-2-keto erythropentose reductase (EC 1.1.1.333) (Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase 2) (DprE2)
1.5.1.49	Delta(1)-pyrroline-2-carboxylate reductase (Pyr2C reductase) (EC 1.5.1.49) (Proline ketimine reductase)
1.6.99.3	NADH oxidase (NOXase) (EC 1.6.99.3)
1.3.98.1	Dihydroorotate dehydrogenase A (fumarate) (DHOD A) (DHODase A) (DHOdehase A) (EC 1.3.98.1)
1.4.1.16	Meso-diaminopimelate D-dehydrogenase (DAPDH) (Meso-DAP dehydrogenase) (EC 1.4.1.16)
1.1.1.192	Long-chain-alcohol dehydrogenase 2 (EC 1.1.1.192) (Alcohol dehydrogenase 2) (ADH2) (Fatty alcohol oxidoreductase 2)
1.5.1.45	NAD(P)H-dependent FAD/FMN reductase GTNG_3158 (FAD/FMN reductase) (EC 1.5.1.45)
1.8.2.2	Thiosulfate dehydrogenase (EC 1.8.2.2) (Tetrathionate synthase)
1.5.1.24	N(5)-(carboxyethyl)ornithine synthase (CEOS) (EC 1.5.1.24) (N(5)-(L-1-carboxyethyl)-L-ornithine:NADP(+) oxidoreductase)
1.1.1.27	L-lactate dehydrogenase 1 (L-LDH 1) (EC 1.1.1.27)
1.14.13.113	FAD-dependent urate hydroxylase (EC 1.14.13.113)
1.18.6.1	nifH Fe protein of nitrogenase
1.14.14.1	cyp102A1 Bifunctional cytochrome P450/NADPH--P450 reductase
1.8.99.5	DsrA Sulfite reductase, dissimilatory-type subunit alpha
1.8.99.2	AprA Adenylylsulfate reductase, subunit A
1.2.7.6	Gapor Gor Glyceraldehyde-3-phosphate:ferredoxin oxidoreductase
1.20.4.1	ArsC Arsenate reductase
1.2.7.3	korB oorB oforB Definition2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta
1.21.99.5	pceA tetrachloroethene reductive dehalogenase [EC:1.21.99.5]
1.2.7.4	cdhA acetyl-CoA decarbonylase/synthase complex subunit alpha
1.17.1.10	Formate dehydrogenase alpha subunit FdhA
1.8.5.4	Sulfide-quinone reductase (SQR) (EC 1.8.5.4) (Sulfide:quinone oxidoreductase)
1.1.1.175	D-xylose 1-dehydrogenase (XDH) (EC 1.1.1.175)
1.5.1.47	Dihydromethanopterin reductase (EC 1.5.1.47) (H(2)MPT reductase)
1.12.7.2	H(2) oxidizing hydrogenase (EC 1.12.7.2) hydb Periplasmic [Fe] hydrogenase small subunit
1.7.2.4	nosZ nitrous-oxide reductase
1.17.1.9	Formate dehydrogenase alpha subunit FdhA
1.7.2.8	hdh Hydrazine dehydrogenase
1.12.1.5	Hyd2A Sulfhydrogenase 2 subunit alpha
1.12.1.3	HydD Sulfhydrogenase 1 subunit delta
1.12.98.4	ShyC Sulfhydrogenase 2 subunit gamma
1.4.3.20	L-lysine 6-oxidase (EC 1.4.3.20) (L-lysine-epsilon-oxidase) (Marinocine)
1.14.13.163	6-hydroxy-3-succinoylpyridine 3-monooxygenase HspB (EC 1.14.13.163) (6-hydroxy-3-succinoylpyridine hydroxylase) (HSP hydroxylase)
1.2.1.69	Fluoroacetaldehyde dehydrogenase (EC 1.2.1.69)
1.14.18.3	Particulate methane monooxygenase alpha subunit (EC 1.14.18.3) (Methane monooxygenase B subunit) (Particulate methane monooxygenase 45 kDa subunit) (Particulate methane monooxygenase 47 kDa subunit) (Particulate methane monooxygenase hydroxylase 45 kDa subunit) (Particulate methane monooxygenase hydroxylase alpha subunit) (pMMO-H alpha subunit)
1.4.99.5	Hydrogen cyanide synthase subunit HcnC (HcnC) (EC 1.4.99.5) (Glycine dehydrogenase (cyanide-forming))
1.1.1.335	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
1.1.1.136	UDP-N-acetyl-D-glucosamine 6-dehydrogenase (UDP-D-GlcNAc 6-dehydrogenase) (EC 1.1.1.136) (UDP-N-acetylglucosamine 6-dehydrogenase)
1.3.1.31	2-enoate reductase FldZ (EC 1.3.1.31) (Cinnamate reductase)
1.2.1.92	"3,6-anhydro-alpha-L-galactose dehydrogenase (AHG dehydrogenase) (EC 1.2.1.92)"
1.16.3.1	Multicopper oxidase MmcO (EC 1.16.3.1) (Mycobacterium multicopper oxidase)
1.7.2.2	Cytochrome c-552 (EC 1.7.2.2) (Cytochrome c nitrite reductase) (TvNiR)
1.18.1.2	Ferredoxin--NADP reductase 2 (FNR 2) (Fd-NADP(+) reductase 2) (EC 1.18.1.2)
1.1.1.361	Glucose-6-phosphate 3-dehydrogenase (EC 1.1.1.361)
